timestamp,lat,lon,tower_id,band_mhz,rssi_dbm
1777858728,-23.555577,-46.62883,PIPETEST-SP-CENTRO-001,1800,-60.9
1777858732,-23.541932,-46.646134,PIPETEST-SP-CENTRO-001,1800,-76.67
1777858736,-23.541811,-46.615264,PIPETEST-SP-CENTRO-001,1800,-91.63
1777858740,-23.547683,-46.652431,PIPETEST-SP-CENTRO-001,1800,-79.97
1777858744,-23.548919,-46.635361,PIPETEST-SP-CENTRO-001,1800,-54.49
1777858748,-23.560553,-46.637894,PIPETEST-SP-CENTRO-001,1800,-72.54
1777858752,-23.563077,-46.653106,PIPETEST-SP-CENTRO-001,1800,-86.03
1777858756,-23.549282,-46.625849,PIPETEST-SP-CENTRO-001,1800,-76.08
1777858760,-23.544902,-46.631533,PIPETEST-SP-CENTRO-001,1800,-69.83
1777858764,-23.548319,-46.630948,PIPETEST-SP-CENTRO-001,1800,-60.73
1777858768,-23.556765,-46.631723,PIPETEST-SP-CENTRO-001,1800,-73.31
1777858772,-23.547904,-46.623385,PIPETEST-SP-CENTRO-001,1800,-66.75
1777858776,-23.54095,-46.624129,PIPETEST-SP-CENTRO-001,1800,-72.51
1777858780,-23.543035,-46.63771,PIPETEST-SP-CENTRO-001,1800,-67.13
1777858784,-23.548248,-46.623475,PIPETEST-SP-CENTRO-001,1800,-75.0
1777858788,-23.548857,-46.615539,PIPETEST-SP-CENTRO-001,1800,-85.26
1777858792,-23.544538,-46.636495,PIPETEST-SP-CENTRO-001,1800,-68.37
1777858796,-23.55547,-46.65636,PIPETEST-SP-CENTRO-001,1800,-95.74
1777858800,-23.551596,-46.61749,PIPETEST-SP-CENTRO-001,1800,-81.73
1777858804,-23.568994,-46.634636,PIPETEST-SP-CENTRO-001,1800,-83.74
1777858808,-23.547176,-46.635646,PIPETEST-SP-CENTRO-001,1800,-59.91
1777858812,-23.551058,-46.646472,PIPETEST-SP-CENTRO-001,1800,-74.0
1777858816,-23.532341,-46.631031,PIPETEST-SP-CENTRO-001,1800,-90.32
1777858820,-23.531277,-46.627863,PIPETEST-SP-CENTRO-001,1800,-87.55
1777858824,-23.536617,-46.649402,PIPETEST-SP-CENTRO-001,1800,-96.72
1777858828,-23.551328,-46.637376,PIPETEST-SP-CENTRO-001,1800,-62.35
1777858832,-23.562632,-46.642438,PIPETEST-SP-CENTRO-001,1800,-87.08
1777858836,-23.53314,-46.638202,PIPETEST-SP-CENTRO-001,1800,-83.77
1777858840,-23.556176,-46.638691,PIPETEST-SP-CENTRO-001,1800,-71.44
1777858844,-23.556496,-46.630243,PIPETEST-SP-CENTRO-001,1800,-71.58
